timestamp(ms),Air Temp,
"1741815895.395","22.46",
"1741815896.39","22.46",
"1741815897.396","22.45",
"1741815898.393","22.47",
"1741815899.393","22.46",
"1741815900.394","22.45",
"1741815901.395","22.48",
"1741815902.396","22.47",
"1741815903.397","22.48",
"1741815904.398","22.46",
"1741815905.399","22.49",
"1741815906.4","22.46",
"1741815907.401","22.48",
"1741815908.403","22.48",
"1741815909.403","22.46",
"1741815910.404","22.47",
"1741815911.406","22.5",
"1741815912.406","22.48",
"1741815913.407","22.46",
"1741815914.408","22.47",
"1741815915.408","22.48",
"1741815916.41","22.47",
"1741815917.411","22.49",
"1741815918.412","22.48",
"1741815919.413","22.47",
"1741815920.414","22.48",
"1741815921.415","22.48",
"1741815922.416","22.48",
"1741815923.417","22.48",
"1741815924.418","22.49",
"1741815925.419","22.48",
"1741815926.422","22.49",
"1741815927.421","22.48",
"1741815928.428","22.49",
"1741815929.423","22.51",
"1741815930.424","22.49",
"1741815931.425","22.49",
"1741815932.436","22.51",
"1741815933.437","22.49",
"1741815934.438","22.48",
"1741815935.439","22.48",
"1741815936.44","22.51",
"1741815937.441","22.5",
"1741815938.442","22.48",
"1741815939.446","22.5",
"1741815940.444","22.51",
"1741815941.45","22.5",
"1741815942.446","22.49",
"1741815943.447","22.5",
"1741815944.449","22.51",
"1741815945.449","22.49",
"1741815946.45","22.53",
"1741815947.451","22.48",
"1741815948.452","22.5",
"1741815949.453","22.51",
"1741815950.454","22.5",
"1741815951.455","22.5",
"1741815952.456","22.5",
"1741815953.457","22.51",
"1741815954.458","22.51",
"1741815955.459","22.52",
"1741815956.46","22.51",
"1741815957.461","22.5",
"1741815958.462","22.51",
"1741815959.464","22.52",
"1741815960.465","22.52",
"1741815961.465","22.53",
"1741815962.466","22.51",
"1741815963.473","22.52",
"1741815964.468","22.52",
"1741815965.469","22.52",
"1741815966.47","22.54",
"1741815967.471","22.53",
"1741815968.472","22.52",
"1741815969.475","22.51",
"1741815970.474","22.52",
"1741815971.476","22.53",
"1741815972.476","22.53",
"1741815973.477","22.53",
"1741815974.478","22.52",
"1741815975.48","22.52",
"1741815976.485","22.54",
"1741815977.485","22.53",
"1741815978.482","22.53",
"1741815979.483","22.53",
"1741815980.484","22.54",
"1741815981.485","22.54",
"1741815982.486","22.54",
"1741815983.487","22.52",
"1741815984.488","22.54",
"1741815985.489","22.55",
"1741815986.49","22.54",
"1741815987.493","22.55",
"1741815988.492","22.55",
"1741815989.493","22.53",
"1741815990.501","22.54",
"1741815991.495","22.53",
"1741815992.507","22.56",
"1741815993.508","22.54",
"1741815994.513","22.56",
"1741815995.51","22.55",
"1741815996.511","22.56",
"1741815997.512","22.55",
"1741815998.513","22.56",
"1741815999.516","22.58",
"1741816000.515","22.57",
"1741816001.516","22.56",
"1741816002.517","22.55",
"1741816003.518","22.56",
"1741816004.519","22.56",
"1741816005.52","22.57",
"1741816006.521","22.57",
"1741816007.522","22.55",
"1741816008.523","22.56",
"1741816009.525","22.58",
"1741816010.525","22.57",
"1741816011.531","22.55",
"1741816012.527","22.56",
"1741816013.528","22.59",
"1741816014.529","22.58",
"1741816015.53","22.57",
"1741816016.531","22.58",
"1741816017.532","22.57",
"1741816018.533","22.58",
"1741816019.534","22.58",
"1741816020.535","22.59",
"1741816021.536","22.58",
"1741816022.537","22.58",
"1741816023.547","22.58",
